loss,params,iteration,train_loss,estimators,train_time
0.22640691849182293,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7358382794523037, 'learning_rate': 0.19804750556921522, 'min_child_samples': 280, 'num_leaves': 149, 'reg_alpha': 0.5108248259698053, 'reg_lambda': 0.24033918165461396, 'subsample_for_bin': 120000, 'subsample': 1.0}",29,0.16894862472671268,56,2.502284086939653
0.22738666206523894,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6021209846953248, 'learning_rate': 0.07995900039168077, 'min_child_samples': 225, 'num_leaves': 122, 'reg_alpha': 0.9870867054999206, 'reg_lambda': 0.5713947762388096, 'subsample_for_bin': 260000, 'subsample': 1.0}",30,0.1541012428514259,91,3.0275990520044616
0.22968372319864272,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6876515200870481, 'learning_rate': 0.05811833616059993, 'min_child_samples': 310, 'num_leaves': 98, 'reg_alpha': 0.5536812573919481, 'reg_lambda': 0.42321935749262946, 'subsample_for_bin': 180000, 'subsample': 0.6976225893142027}",31,0.1926928205314049,225,13.671134147298744
0.22871011144439923,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8710621664918721, 'learning_rate': 0.1676027692083927, 'min_child_samples': 350, 'num_leaves': 97, 'reg_alpha': 0.4407897924404417, 'reg_lambda': 0.17415620604812102, 'subsample_for_bin': 200000, 'subsample': 0.7958136381753278}",32,0.161682960086163,49,6.888607668388431
0.22789221943077143,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7596797733606392, 'learning_rate': 0.109735668727164, 'min_child_samples': 460, 'num_leaves': 79, 'reg_alpha': 0.2810439993557506, 'reg_lambda': 0.11807409002962915, 'subsample_for_bin': 80000, 'subsample': 1.0}",33,0.22055212218093356,102,2.5977589210237966
0.22790941267752307,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7978558118224216, 'learning_rate': 0.06809599273615013, 'min_child_samples': 370, 'num_leaves': 142, 'reg_alpha': 0.6841353482436298, 'reg_lambda': 0.6574174919832437, 'subsample_for_bin': 120000, 'subsample': 0.5124217399503257}",34,0.18655462677157397,172,9.500802132648914
0.2263626100110281,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7273412525555168, 'learning_rate': 0.19710097744091754, 'min_child_samples': 500, 'num_leaves': 114, 'reg_alpha': 0.40154727435878285, 'reg_lambda': 0.998415642249793, 'subsample_for_bin': 200000, 'subsample': 1.0}",35,0.23625775302871066,58,2.1452030760933667
0.23056610164861857,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.9237039524237798, 'learning_rate': 0.049252336349618515, 'min_child_samples': 185, 'num_leaves': 126, 'reg_alpha': 0.8052949585153746, 'reg_lambda': 0.573493947400706, 'subsample_for_bin': 240000, 'subsample': 0.65175526190412}",36,0.1937883350963785,187,12.88841026411228
0.2258530970659669,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6711331619399571, 'learning_rate': 0.09335235420220568, 'min_child_samples': 260, 'num_leaves': 95, 'reg_alpha': 0.667673328327262, 'reg_lambda': 0.8390349202786366, 'subsample_for_bin': 80000, 'subsample': 1.0}",37,0.16801468595357194,72,2.7781272648867343
0.23607827824847394,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.9945999103094064, 'learning_rate': 0.019384409635382276, 'min_child_samples': 460, 'num_leaves': 72, 'reg_alpha': 0.30295498299419055, 'reg_lambda': 0.711647870168186, 'subsample_for_bin': 120000, 'subsample': 0.9472867540012717}",38,0.20603590983092324,442,24.49186830916142
0.2288775957754412,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.795855327304252, 'learning_rate': 0.13841378555364858, 'min_child_samples': 400, 'num_leaves': 143, 'reg_alpha': 0.4837788264724444, 'reg_lambda': 0.2525685005821699, 'subsample_for_bin': 160000, 'subsample': 1.0}",39,0.20270542029242744,193,4.448214088634813
0.22810649812355532,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.620599386572713, 'learning_rate': 0.03443897333827633, 'min_child_samples': 300, 'num_leaves': 52, 'reg_alpha': 0.39217424391292105, 'reg_lambda': 0.3724838892522038, 'subsample_for_bin': 200000, 'subsample': 0.8221054529634437}",40,0.1884658369052481,103,12.57804409340224
0.22925822819229558,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.709999028919771, 'learning_rate': 0.16119761909567523, 'min_child_samples': 340, 'num_leaves': 108, 'reg_alpha': 0.09348053274441354, 'reg_lambda': 0.45075654429459167, 'subsample_for_bin': 20000, 'subsample': 0.9981351386894198}",41,0.18683093972874365,21,3.3852415557048516
