loss,train,estimators,train_time,params,iteration
-0.7717157965275032,-0.8295642234444074,69.8,1.4385673780816433,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8919238266717187, 'learning_rate': 0.0840457084704446, 'min_child_samples': 225, 'num_leaves': 41, 'reg_alpha': 0.8413103477999638, 'reg_lambda': 0.7094838225434656, 'subsample_for_bin': 140000, 'subsample': 1.0}",28
-0.772853675681793,-0.8306319414746535,91.6,1.6594863386990255,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9792448606585733, 'learning_rate': 0.05185053891918883, 'min_child_samples': 230, 'num_leaves': 31, 'reg_alpha': 0.8540597833203692, 'reg_lambda': 0.9752503522787981, 'subsample_for_bin': 140000, 'subsample': 1.0}",29
-0.7704623135263979,-0.8275217832132256,116.8,2.3249397546496766,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8931184419565429, 'learning_rate': 0.027175984884828187, 'min_child_samples': 235, 'num_leaves': 33, 'reg_alpha': 0.840927260413243, 'reg_lambda': 0.9926759821256507, 'subsample_for_bin': 200000, 'subsample': 1.0}",30
-0.7684169850964998,-0.8517738849242473,133.2,2.932570718598072,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9817170496130181, 'learning_rate': 0.05072623624445255, 'min_child_samples': 210, 'num_leaves': 31, 'reg_alpha': 0.8954812906979621, 'reg_lambda': 0.9884615386220522, 'subsample_for_bin': 140000, 'subsample': 1.0}",31
-0.7687526147878085,-0.8143251416591955,274.4,2.6198774385429715,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9761594482344781, 'learning_rate': 0.023009805650611448, 'min_child_samples': 310, 'num_leaves': 132, 'reg_alpha': 0.675288520240734, 'reg_lambda': 0.88908939006381, 'subsample_for_bin': 160000, 'subsample': 1.0}",32
-0.7661807639246293,-0.8358180183827839,55.0,1.7504471467937037,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8948096531787186, 'learning_rate': 0.08790444942807418, 'min_child_samples': 220, 'num_leaves': 40, 'reg_alpha': 0.9830172029338203, 'reg_lambda': 0.920779377511961, 'subsample_for_bin': 120000, 'subsample': 1.0}",33
-0.7710177504451666,-0.825350601300822,69.2,1.506485904067631,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9663228384637257, 'learning_rate': 0.05939535955840336, 'min_child_samples': 245, 'num_leaves': 53, 'reg_alpha': 0.8552351964300561, 'reg_lambda': 0.7789477513225023, 'subsample_for_bin': 220000, 'subsample': 1.0}",34
-0.7695150157839772,-0.8398834812341333,106.2,2.1374379057597253,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9006160833184852, 'learning_rate': 0.03750683050642636, 'min_child_samples': 185, 'num_leaves': 30, 'reg_alpha': 0.931726118693433, 'reg_lambda': 0.9575262878239961, 'subsample_for_bin': 200000, 'subsample': 1.0}",35
-0.755194366700592,-0.9487241189550298,263.4,5.546780884417785,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8513598872429162, 'learning_rate': 0.018638693135742766, 'min_child_samples': 60, 'num_leaves': 122, 'reg_alpha': 0.8251557994739792, 'reg_lambda': 0.6715351227511629, 'subsample_for_bin': 100000, 'subsample': 1.0}",36
-0.7697232834426817,-0.8742782825239053,76.4,1.831865978841961,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8214500526762689, 'learning_rate': 0.08741045112689556, 'min_child_samples': 150, 'num_leaves': 82, 'reg_alpha': 0.7005914954175188, 'reg_lambda': 0.8110555230661712, 'subsample_for_bin': 240000, 'subsample': 1.0}",37
-0.7687709452063094,-0.8148381600789838,128.4,1.6990719144032482,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9254041587498707, 'learning_rate': 0.05433671296583225, 'min_child_samples': 310, 'num_leaves': 90, 'reg_alpha': 0.5396734163940711, 'reg_lambda': 0.8818945381490073, 'subsample_for_bin': 120000, 'subsample': 1.0}",38
-0.7683694750034833,-0.794120184294848,99.2,2.294749950507139,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8754285997731347, 'learning_rate': 0.197174706574325, 'min_child_samples': 390, 'num_leaves': 41, 'reg_alpha': 0.9171106168806007, 'reg_lambda': 0.47958864538231655, 'subsample_for_bin': 180000, 'subsample': 1.0}",39
-0.7630194235924814,-0.8754516552299009,71.8,2.1268821694238795,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9616129496907997, 'learning_rate': 0.07534652506355495, 'min_child_samples': 140, 'num_leaves': 77, 'reg_alpha': 0.9973867607621075, 'reg_lambda': 0.656061829349148, 'subsample_for_bin': 80000, 'subsample': 1.0}",40
-0.7707346806418702,-0.8532856313231314,126.2,2.0476416135516047,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8031766626541477, 'learning_rate': 0.043947446107376255, 'min_child_samples': 195, 'num_leaves': 149, 'reg_alpha': 0.6198128419231128, 'reg_lambda': 0.7614348557637, 'subsample_for_bin': 140000, 'subsample': 1.0}",41
-0.7681285267254824,-0.857146287790659,91.2,1.9415216189208877,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8441875190786888, 'learning_rate': 0.06280382821678968, 'min_child_samples': 90, 'num_leaves': 67, 'reg_alpha': 0.8101600211028752, 'reg_lambda': 0.523400149413217, 'subsample_for_bin': 160000, 'subsample': 1.0}",42
