loss,params,iteration,estimators,train_time
0.2361733582529476,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7137712279499366, 'learning_rate': 0.026119951022981865, 'min_child_samples': 295, 'num_leaves': 150, 'reg_alpha': 0.09496704110038665, 'reg_lambda': 0.8215325666673834, 'subsample_for_bin': 20000, 'subsample': 0.9877156343732694, 'metric': 'auc', 'verbose': 1}",27,117,3.3346980966130104
0.2308655075876278,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6771905774828696, 'learning_rate': 0.015065042505245733, 'min_child_samples': 265, 'num_leaves': 30, 'reg_alpha': 0.2548727544042211, 'reg_lambda': 0.9986772701036614, 'subsample_for_bin': 60000, 'subsample': 0.9673696755460313, 'metric': 'auc', 'verbose': 1}",28,231,4.182292324444006
0.23803454120275513,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6676074837910234, 'learning_rate': 0.016214898535538414, 'min_child_samples': 195, 'num_leaves': 56, 'reg_alpha': 0.548194614611728, 'reg_lambda': 0.992923354268749, 'subsample_for_bin': 60000, 'subsample': 0.9021205783269433, 'metric': 'auc', 'verbose': 1}",29,162,4.008513414957179
0.23824672946881953,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.759116428877681, 'learning_rate': 0.010029357540324598, 'min_child_samples': 340, 'num_leaves': 78, 'reg_alpha': 0.34055746043041546, 'reg_lambda': 0.9489477449663926, 'subsample_for_bin': 40000, 'subsample': 0.9986693713878269, 'metric': 'auc', 'verbose': 1}",30,443,6.854205848855145
0.23794553547809927,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6006951097281343, 'learning_rate': 0.02361457491717398, 'min_child_samples': 205, 'num_leaves': 31, 'reg_alpha': 0.12581451153926237, 'reg_lambda': 0.675651204741684, 'subsample_for_bin': 100000, 'subsample': 0.695220261397713, 'metric': 'auc', 'verbose': 1}",31,88,3.3119294760426783
0.23915272040307056,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7988274040587862, 'learning_rate': 0.03243757504618406, 'min_child_samples': 145, 'num_leaves': 38, 'reg_alpha': 0.6586586697437498, 'reg_lambda': 0.9982878671953083, 'subsample_for_bin': 60000, 'subsample': 0.823117111600657, 'metric': 'auc', 'verbose': 1}",32,46,4.384841058269103
0.28480064065552013,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9859897676590974, 'learning_rate': 0.010113238086373117, 'min_child_samples': 30, 'num_leaves': 93, 'reg_alpha': 0.4421841053517872, 'reg_lambda': 0.6157305797646307, 'subsample_for_bin': 140000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",33,68,5.181713764937285
0.23544738263871978,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9519357151915142, 'learning_rate': 0.021964740123746516, 'min_child_samples': 265, 'num_leaves': 144, 'reg_alpha': 0.275805543524451, 'reg_lambda': 0.7900940149155815, 'subsample_for_bin': 80000, 'subsample': 0.9407178875715231, 'metric': 'auc', 'verbose': 1}",34,137,3.6523266966810297
0.23784779996413885,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6640073357405081, 'learning_rate': 0.015107145835481919, 'min_child_samples': 380, 'num_leaves': 56, 'reg_alpha': 0.03262128754622945, 'reg_lambda': 0.9243784508122567, 'subsample_for_bin': 100000, 'subsample': 0.8374735841164904, 'metric': 'auc', 'verbose': 1}",35,227,4.360546678999981
0.2436144445101064,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7328073548776317, 'learning_rate': 0.030230355724704793, 'min_child_samples': 310, 'num_leaves': 42, 'reg_alpha': 0.21053207877130203, 'reg_lambda': 0.7539697938173856, 'subsample_for_bin': 120000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",36,32,1.040960533935504
0.2397861106304836,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8212540873894313, 'learning_rate': 0.021587448146018987, 'min_child_samples': 160, 'num_leaves': 99, 'reg_alpha': 0.5183935589924614, 'reg_lambda': 0.521481547591794, 'subsample_for_bin': 40000, 'subsample': 0.6973207669172912, 'metric': 'auc', 'verbose': 1}",37,31,2.0658698815686876
0.2447213018969714,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6911517840688676, 'learning_rate': 0.12896962150591218, 'min_child_samples': 455, 'num_leaves': 30, 'reg_alpha': 0.6379526899128463, 'reg_lambda': 0.6315810821884923, 'subsample_for_bin': 140000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",38,7,0.6810817299210612
0.2374085900790346,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6513580140309021, 'learning_rate': 0.044734122566765566, 'min_child_samples': 200, 'num_leaves': 76, 'reg_alpha': 0.14151798455116563, 'reg_lambda': 0.9994106215184736, 'subsample_for_bin': 60000, 'subsample': 0.9424443426448789, 'metric': 'auc', 'verbose': 1}",39,73,2.4137411580518346
0.23175907553269381,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.753842389452067, 'learning_rate': 0.012282662104898402, 'min_child_samples': 280, 'num_leaves': 53, 'reg_alpha': 0.30686551105339516, 'reg_lambda': 0.37372844189734156, 'subsample_for_bin': 20000, 'subsample': 0.5932809846285347, 'metric': 'auc', 'verbose': 1}",40,229,3.9248794241029827
0.24332835103643402,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7204444263582005, 'learning_rate': 0.01852585986758643, 'min_child_samples': 105, 'num_leaves': 40, 'reg_alpha': 0.37559530568223004, 'reg_lambda': 0.8563453866874465, 'subsample_for_bin': 160000, 'subsample': 0.910178338962942, 'metric': 'auc', 'verbose': 1}",41,87,3.7774127410521032
0.241344153749251,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.8206327928642101, 'learning_rate': 0.016749683817305024, 'min_child_samples': 370, 'num_leaves': 61, 'reg_alpha': 0.47252745713899685, 'reg_lambda': 0.773295445607013, 'subsample_for_bin': 80000, 'subsample': 0.5213230637479787, 'metric': 'auc', 'verbose': 1}",42,222,8.684905797769261
0.2444588136165875,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6138243694214789, 'learning_rate': 0.061205592179519104, 'min_child_samples': 175, 'num_leaves': 126, 'reg_alpha': 0.05810019985660628, 'reg_lambda': 0.6601434647225002, 'subsample_for_bin': 40000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",43,17,1.0302534852944518
0.23786162241087738,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7790965522746802, 'learning_rate': 0.04222913728924738, 'min_child_samples': 395, 'num_leaves': 47, 'reg_alpha': 0.22444098934375495, 'reg_lambda': 0.9346948157076546, 'subsample_for_bin': 100000, 'subsample': 0.9732257143301668, 'metric': 'auc', 'verbose': 1}",44,9,1.1233429703029287
0.24011821659767862,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6825041253375379, 'learning_rate': 0.02963770043248539, 'min_child_samples': 325, 'num_leaves': 107, 'reg_alpha': 0.16263597284525105, 'reg_lambda': 0.4967205738670222, 'subsample_for_bin': 120000, 'subsample': 0.6319648180966154, 'metric': 'auc', 'verbose': 1}",45,127,5.7064951126799315
0.23565490324287286,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9157847649887892, 'learning_rate': 0.07626251018579855, 'min_child_samples': 245, 'num_leaves': 60, 'reg_alpha': 0.7327969802141437, 'reg_lambda': 0.7363161344360872, 'subsample_for_bin': 180000, 'subsample': 0.8799683382218431, 'metric': 'auc', 'verbose': 1}",46,44,1.894326134619405
